topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,95683670330490093857096209397781005510074512216379769849000439324371042189702,335,201,88338,22192,187066
t4,95181762516282934263169124988000854097039387756580417577307753410401481541797,242,201,113125,5717,158305
t4,110165014293661300366527136496315131616480225249649721085279876035846193834470,234,201,122906,6399,175656
t4,17245412291421042731743290565610190497592714690996921795918065938662760406112,29,201,27430,0,0
t4,76457282738632559410099403299034347678600579675444797223458214870986040546674,256,201,110657,9318,182392
t4,45857859669039613819347058602860325254853161393617218852266635651224595016702,262,201,102985,14144,147062
t4,102673083757101807698798450030918740588670972858272766754059390093004649311515,218,201,117415,24999,170261
t4,86440148906773053470144977991167733242240735711709608336546314539265338002333,288,201,103053,4396,189209
t4,21008392144700245699084539948524927226197997792204882606104732840790691640390,34,201,29277,5093,145168
t4,40340895216168602610398117741569583195376071113168945680693625678234849177156,278,201,92294,1498,199908
t4,84667820481128545489315866014928198417674843461857165207579668378086834818046,269,201,99429,796,141064
t4,63811262874986078679875031220223404926185406876519154842503483343800503107834,284,201,100897,3396,130263
t5,96842172425671586415722514165421665685020136683681289751904075527966742139729,327,201,45976,10019,189977
t5,103459747284400649564747195675445398811280273797807570385899644317156029248547,92,201,70450,8323,147917
t5,108497334988587319018814616473937156991637579880071924686892224692755788684397,271,201,64738,8700,141405
t5,23909476239634556075568653585918881289719852157865491868544536654108130601999,324,201,51601,3389,132987
t5,102442364269045690896563229502238529350654362101591350691104269964521753305551,281,201,60120,5216,141456
t5,108954541810061236842899018907390727604011728446935310396067588125827929834117,212,201,50775,799,138001
t5,24502852106015443566888269612950648558415889505555912367784856709834687325089,123,201,43849,799,799
t5,39622000092329845474185802054608574338890662284683802797893688888306836411941,209,201,12906,2251,190951
t5,15566104313313291328479174575831647303174379496866903766954853468699348444823,74,201,56190,2199,2199
t5,83217767896994315850077976545865876324278397869641348395381615090288107501843,137,201,58037,2530,159204
t5,92082996328381275390046542930492339887330740130129914324279164827174097229427,279,201,55489,4819,150683
t5,44394519945826611384240378692498620706769429469381432050343765571234439493915,202,201,59194,173789,205504
t5,88459118067436379298271137100515455803880081982573996710952218531445464036948,317,201,47985,3399,193927
t5,82092587984189746675643231089674096744810122470020597310366973414056776102835,317,201,53287,361,140073
t5,8086149262454596152449849464334634712667598882277954412842989337159326295493,368,201,43926,16066,203745
t5,96658492887461959256561607277296817750269799314269961726157081909685774054222,339,201,49184,3992,193496
t5,101209000890594620796099767548510685732645785233620215458995916642982938818544,77,201,49026,25819,166090
t5,45736862078394777421556594195600333862629701572677443438048221931968210537447,307,201,53243,6873,132125
t5,29736462824751695499433309844054655146191399903318574168580410304931828314791,336,201,53381,8219,205861
t5,29619913271364746541969626664592055637794729848192704962870392774503296059000,349,201,51591,619,207608
t5,98898970876692833931390157760813374984165467707085374557565228360886508105524,279,201,57606,14948,146164
t5,75204444250253888542671134901649855890482366016182648167382328162078348771443,308,201,46657,2341,132517
t5,8799814200173101957707272338109608268984774857418537748625794411061079591373,353,201,49233,1098,207650
t5,5284689978273943575567177032565260873661409002314906415365218196220031342837,222,201,51766,7795,205937
t5,64445812388427272090822705346534192149625693768030572044116853470845069837698,110,201,67515,4570,152757
t5,42472684187734369564410878942482944016179870806761817070013622901130789507541,293,201,57274,4388,155800
t5,21440976021001950794220643446353344800536849854573041905386950965529513658504,319,201,62094,3992,141027
t5,7896416660544837286034199157076979853517596050035293217129697401861842096588,348,201,52258,2765,160630
t5,77197269434715740427132588100361593412793431762134381497196872584474155856632,321,201,47335,14392,138795
t5,14691811942315438863728556600013792654275482970996556434816153658191339990690,328,201,45676,12386,153949
t5,71831580389020713866267525151059973258481611772692446768276314426259477348882,41,201,53682,7419,139301
t5,33027381349449195522834368249461431077543303487926217880171869218730195485748,329,201,56079,15399,168169
t5,10902000626438892467650695129102406328754844874762739558753240847595264239338,347,201,49660,3100,137194
t5,9229584188005204911734750262869611965276990103958779407638580007236064741848,192,201,74493,7419,166292
t5,94980246441892643753631360389381250448192365954752990289650719545063853750276,228,201,50717,1399,110085
t5,99457242461520265792017309955935720362471107123280525702032393860770135624364,322,201,48705,2851,209446
t5,25905335649378752960109034416625685503114829549346204579808045545498685494959,286,201,52220,8194,182438
t5,8282924099209876250997246087088302641962582373093868525515032699761284536960,306,201,53153,3399,141154
t5,54314790464484528351019189494574500005352611491666643329288582622864871562176,348,201,52926,5216,164728
t5,70685113204072609264211173591628960727957646025344673657166140841694405995561,198,201,78524,5851,146422
t5,99302985741165778004807597728396001960204081396014015154048716789863877012121,273,201,61207,1550,138892
t5,61858098968903936828754462374352918212360780243759987994682041456266125914999,306,201,59698,1988,164519
t5,42893872336100077854226356523084248758670527768956965605169617856326833646292,337,201,51167,130,153831
t5,74103670934238913329047522253831716670834097021690937659548357827265506815559,253,201,52493,34197,127843
t5,103421403820173853755267316446061299772268904231826190567067447961688405392196,316,201,49356,5595,143354
t5,48585435636174895224070979489944846545899954340322683089722230470689750982960,227,201,71772,5798,154576
t5,64266998872920773338973886987780744323936529496598114190510636537684925710426,260,201,63818,1349,141379
t5,13171711037866639651053412401727993976492257256892543787241743201636487830043,235,201,70932,4198,143672
t5,96962764465798665061899166045711351697309973931509804576825797888318714336175,267,201,58245,218,157753
t5,36476949538488641570216000535362221032807805588960054828516348873187087973302,345,201,55199,598,172040
t5,71212612068376281528686779796476360909011706237211006999915736121419592253038,293,201,51893,1372,130946
t5,476982528653962679256258194063829299744212859847713661885292000077972319444,342,201,48466,1004,192683
t5,52844586594990101027962046982567910740622928784213789212290067060664887580241,108,201,201,203989,277343
t5,4473320279178703303879289825411025439607481602687139438865338140717224570653,353,201,54695,3704,145390
t5,110606900463036147674351083431957009521446149553702284591967323609401549666054,329,201,56180,9995,195804
t5,13582863553595176498664364409008573750623397492883201211457767372888233766999,308,201,53059,21783,146163
t5,4483397735534683574098532588642546581481072920930562045415574638175068493576,331,201,49329,799,133237
t5,22683305642320083810636843983861218952868967936210626922140076778964250986980,306,201,52920,5799,150402
t5,99402736054214101734477344794962536048193915486358379446834872058706711966425,5,201,201,155146,224234
t5,56392840838887750350185741400612593613864458278122534821211861757145950284096,256,201,63860,10103,132930
t5,24665841149326571987001317364923417379731902082018760237376687307445900743044,291,201,57718,6017,131171
t5,13421157599858303277176439975697536864804292797779788219035431300664505960354,319,201,55134,3930,147051
t5,88936267414938928900509436734632518370626112928406536268613130618791308168985,330,201,47296,23999,200467
t5,45469188480463414755456037300787460604604335807351697179464452268238066864605,367,201,44647,8530,204067
t5,100044907294852963761016732798409917260061828167691638308680291801823833267780,113,201,201,252931,284629
t5,95683670330490093857096209397781005510074512216379769849000439324371042189702,286,201,55037,2049,127430
t5,71865359712392587581895567584667885968729775185713419775604261902416248739836,300,201,57870,3504,166523
t5,110165014293661300366527136496315131616480225249649721085279876035846193834470,281,201,49137,1098,155396
t5,17245412291421042731743290565610190497592714690996921795918065938662760406112,39,201,68619,799,8730
t5,66093752243364824665189179103966479752044657433743592121692889341716581592500,304,201,51519,2100,128456
t5,20819247780101298970583515972403989246158538646961702380250123219462907997088,273,201,54772,7845,140841
t5,45857859669039613819347058602860325254853161393617218852266635651224595016702,327,201,53739,11570,154026
