topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t4,66091112827256566515854391220627284185689988232864487892260708600161197672363,81,201,141225,11733,204183
t4,78198429533452371085773214140066870285395310365075164415387672005904887844042,117,201,114465,21199,172439
t4,114932861288640713063169083654896194333925917602776499085168530033076123649324,104,201,144544,25199,207259
t4,78872523137427730615922185095300984977643554926053202407354324979847880457922,130,201,115480,8471,187031
t4,15308786291468696989764448036107932826557301820410822116802365717522779827492,73,201,179337,7997,162865
t4,59708874213010843582742986925402176271521575519348289723914182989004724044095,82,201,90286,27016,190515
t4,89581844203242595843051638094649360971189454905495358365304981152652847374528,83,201,169212,860,172187
t4,19971887824317280099429611229013837864559651680634048785101464929110162879223,89,201,171285,20884,169612
t4,17056062507950929793104814637252989825932556640472055292582149851117367104249,77,201,197256,3199,153277
t4,83186919468338230243494186791355298453628458581624418838148618667720138131383,106,201,131712,3199,138433
t4,94281746735782133580859442514343392722391381373223662268035384994632124887212,87,201,163897,7544,206462
t4,112205490862266806693824629008622583108354779054746554608307355874950656297818,78,201,150888,799,138446
t4,19334002943498431495022055171585874143413019400956840342840898214927533972298,88,201,169120,35599,157319
t4,15958109253004326418859857941190036502256803922498715150503432621276455752316,77,201,184904,4993,156601
t4,59953135113445646577820299355472371300808598205195050495798539108376407904206,107,201,145473,37603,161249
t4,71485775311714004554469618184888046459650295202280772665823673812731987540330,70,201,101670,399,161966
t4,31890477994926298499372427413189850045696089243351226024892817905533513299005,28,201,29637,799,39898
t4,98562623230484327483048632442088382455775928432070690111063871641241464881192,96,201,154669,6799,184440
t4,53432514045284130111519444541811716009149477958095415300405337723633395938781,79,201,174382,44799,195001
t4,25395677321339663331569438773419989108798718292629058370318670516468752737888,81,201,164909,596,158796
t4,46339803480159513475969205360121197150226937018699962929321579868667050070284,62,201,97673,28215,196478
t4,88316022804554497529097694038434539335852422883036785514085828890626375049506,97,201,162293,2731,176359
t4,23122735560379540493648586264263264147850137925751136828002355044166808835124,76,201,152489,199,159242
t4,34956232413396886539755978826964897590103033293337896450162000483396280822284,75,201,185925,15599,133830
t4,25064702294098085515687648880780982076897996217478978895603151156595938774300,17,201,201,93854,214712
t4,64891794643763011237105758661133139248961394911606607904437025916881111217736,105,201,138650,41505,220072
t4,114488208241760065192974068368083812343149006609920111702261382432726462075218,24,201,22378,999,76717
t4,75191059999521011485368549530210603515885672995305634100036972247830429647493,108,201,118853,9509,153410
t4,101069149866289280117549741750901306131664527106240267961300089848894798355416,97,201,166764,5450,164618
t4,33554745915644270383407231962152243312895562193592448019872478596449224074860,83,201,161100,699,127964
t4,47787924505783515348329365143017501461746695257181200379744285645674106344634,27,201,23362,3344,194183
t4,32889127647371880358388967747770177316865682393262934937525710082058222209153,69,201,144699,45573,208033
t4,47878956926110453497415131675877347841415198173566961872192487491405239066585,94,201,165291,2199,164228
t4,66800363605652887791470512653602804134726811234945479348778842160460075013290,106,201,145182,24999,176842
t4,81248203631934434933632476593184713231041110253267644804721945018276136670908,113,201,134821,18295,199995
t4,114445695469021038708364734151978437897813600809090927266088534309438658434546,97,201,156707,2419,186249
t4,64977834696695068951483776517466111584057619277850723655304279846219832234920,111,201,133293,7999,146094
t4,12993110459303712508828415961887720275444502639704214775163526555238783875172,87,201,182964,4596,156663
t4,100575125392302812856781391413709457543670973037267087903017791361451138855647,66,201,167651,16199,208320
t4,115788526624698302506535219481682242218522075284771151708055297913005716665756,30,201,201,24728,186244
t4,54601280288166268926794351962342071942300652939301899163678974568618292090441,39,201,132844,799,135973
t4,47294520377057910531994333165246304213419185443134221905987249942141237705252,76,201,192749,12799,150816
t4,69493677546180669429549940329640024134929963176415750939975922900781500889402,48,201,141760,14513,170442
t4,11822476648888599866031787575262428857198873625768419676245460535220366848075,41,201,172863,199,127872
t4,24975809575687754384218115872671194620772927635502133070260057248291489010301,91,201,163609,2740,159433
t4,39378678396204642234056459443311429476650552573449272917501477303622376422345,86,201,164915,13999,144418
t4,45697845063780094576222442107667624448408355966821152720028225786917359670024,60,201,184563,999,86933
t4,52576773963574968745704265184489637189458646206620361135447131022371023299927,47,201,155049,25387,167596
t4,101033824427288545514363850121303859803791162659052625619230166777869013035419,77,201,187559,35799,140581
t4,10277620122876259248267689778445909721004972117672567863541591134733179134753,17,201,201,23235,219665
t4,18264467814800253517768732852579526514732600490876876587144851692620939074288,88,201,164453,3399,168129
t4,38059163110730162320591152089424509856056298992965768695828764299466660199959,84,201,165373,1999,174286
t4,11361947522548244968269213237523286456136374841520439592729346593474811695831,41,201,45466,18695,190127
t4,43813501397636343003248820494518524879179986977989090778970494300708274585977,89,201,168652,3542,169000
t4,97657496133834315284782249705405992797594249578125047313193240703311620546298,80,201,141968,14260,208499
t4,4046448330876384143614454311154001704029799916632707525196584701195364334161,97,201,145227,32455,194563
t4,108265538735357495018577231401401977401229383214311534258333099381466958697409,106,201,136936,6879,185228
t4,85732723272481754713089766195449516356647666432900525454617121462579763615568,110,201,132612,5357,203075
t4,73751079561887283157522558042112330293450847011222693873415037241854266890866,110,201,130398,22796,150889
t4,19507158028298734220867418979965801678139709933669864689846476802030416076446,9,201,201,1799,1799
t4,55730003889142202967164396094061521113214215541747909429388253975644496988519,79,201,182063,10199,169501
t4,2521387701539471006979218194253472379182767012153529098614505930572775386588,81,201,191663,26034,149878
t4,65009052284180460665986949525979287158220423989269587814158208674827406462826,104,201,138650,2034,144614
t4,52908938358520123193800439872036703915333512779209791192148432112066237214056,87,201,177710,8999,159788
t4,115332337151529730354384488979982890294622092928211738813468505768478912769822,100,201,154074,23942,174032
t4,5342304465173021665122044822011364487758583307494872803185116597231799035283,43,201,36358,39548,223025
t4,66102902584007049750349004973312622929773299487838556954177704200625534531560,106,201,142308,31079,187609
t4,40344864612614486581940106915589361544549011579615947346744256546567411319798,96,201,153280,7199,173631
t4,91933918087028328248921448115907002044830864787677738046944908102435302154967,83,201,187292,3999,165397
t4,58338962773856314723536204866812989764717265525157522502688491807531096432006,112,201,121092,6776,165009
t4,66601515897266861945357434782429316209209935017508694500965797806247909259882,111,201,120459,5768,177627
t4,86427518428841841656000347418377547637843161096620231921304111673850333726339,71,201,171493,799,151190
t4,102888281472718405875740194250515279849267098055582078182137577462996183521913,107,201,146135,11999,173398
t4,101162498109909339721601708384766700768302811889262975072362872638239191815673,104,201,148464,17531,137830
t4,11195507139736388474565191587792457821561739957286874141311972731297000087597,90,201,174792,6399,185513
t4,43046838218603944585661955066872043559856857887827241360250143531804970740728,87,201,170213,7274,168051
t4,85565146135024906246890965693366591582586001497611316853531466138901646357209,115,201,139031,17340,162473
t4,46100619520880108580976898548961875569606472475102441286029612401752487610872,81,201,180153,31191,171999
t4,8368897708787355878219768298267025497375613090505655182366122326086967591358,79,201,191924,855,188927
t4,71745594699477354523359351003929165022655496243882625973009814748250615305165,19,201,10075,267599,267599
t4,89878164565681292068431532176758293099917260377363222652567803362290698863458,41,201,2107,40223,181050
t4,48450603417705315281523193785622441895157810502929598498527965950835749051435,69,201,205612,8475,136440
t4,42353698488154460742124703301222089898507263190146944260208394173559340319575,76,201,191145,1137,138714
t4,90845101627024644201975318366178514045385225410189217746866605207740675918028,22,201,62139,799,72532
t4,64363742427507566806113320605115962666896240810625371399069689797113814708767,49,201,9616,3503,199727
t4,109232333250603062753258881224420207792472206056209740909891009991139564857748,107,201,149706,2453,169289
t4,57223872053132360384827383475355662023587580803179881099949627586865590135952,27,201,46057,799,117639
t4,16896883177146594698882049410105805002131521665565534731984442300159809473950,96,201,162766,7574,205336
t4,12483682798965189260809284471167223087295787601502171000737157822590945038244,89,201,172292,4599,198070
t4,70678464033152375864973584167897852508260045435414950717168753477162416885693,48,201,125238,199,90553
t4,33377171908042565342654837485404012817280574763190417284248988004787876067753,30,201,201,7968,247269
t4,23618024697706027915707845376268215020632329365924393764802615869346966975270,79,201,165311,2199,160546
t4,86594482757064621017017352433155731439646289528905528761437677605523231627583,115,201,143208,19199,144776
t4,11734227851169769253409633494603099662279566717000879050965008142534992405127,85,201,177892,37797,179755
t4,24604397283851506739639232817422789360264590033321622644702925836108558252993,67,201,188834,21695,204728
t4,68260303925344160720573188452692230373953804389114418946539021241834636856857,67,201,161619,25197,166464
t4,33093983881652060257777382822474036340774470245969819891934295620065507928791,93,201,160242,3269,145544
t4,108805122784410291601941748389474531150165769506410384544056265424003205020045,89,201,169942,3336,148587
t4,59440955860776839348954074948986671220838493935495710066896309648656155429977,103,201,142813,4914,144330
t4,112306147078537617693052752168546355976472075038452683879069254905580578079396,98,201,162642,11959,159568
t4,14583196401289320099232166915221867533675650274669263426023988454097423475222,79,201,175410,8122,189761
t4,95433157630440282727597932864400157083230231516708167886590334869594331558020,98,201,155649,2399,176687
t4,33988257532937946634704351542826877217648882638261747046571248651490967882472,92,201,176404,2676,186987
t4,62571022848250525893131090226867756021661620608435358800573528245098103065229,70,201,201515,4719,74463
t4,9602583191609004372918563168034079823723463021367741466960855817029827653254,78,201,198728,16738,151028
t4,66185911360794191218718048001299208211171377360324319116517346279072120959419,103,201,144955,8108,196506
t4,68217213367766772887729590663175680904000504391057930491162858366238379933060,117,201,122142,9879,182484
t4,52057377317825209969032343835206963248878165002680686572862742697251443290770,86,201,189624,1105,153513
t4,37207919956951158760664571719327114013962642770574145757507597724846289666005,90,201,168689,799,158275
t4,72151083406488839973950997067514596677327744924061843321587920355018568285641,114,201,128059,43331,173925
t4,20811366602582423631346291723034496225203785697971127149136051066057198865546,78,201,186752,645,151385
t4,56684315492883821086177173882009705905584849892236219175892435180581188529391,97,201,149277,36301,163237
t4,97292206145201620978818676741213108054217353923515475611825031794237672726754,24,201,32168,10346,217531
t4,16838235778983885067414335301421914015393645504320451551233643672583431008551,58,201,229733,799,110767
t4,24017807331557288918679612058407910426072211767946316316792141109821822823637,89,201,155752,2399,140340
t4,67836981991572099338239279635626672403601899785215361942799493039060684587656,93,201,140280,18399,119891
